"experiment","scenario","replicate","method","true_year","n_sightings","first_sighting","final_probability","probability_at_true_year","estimated_year","date_error","absolute_date_error","no_threshold_crossing"
"colonization","increasing effort after colonization",1,"Time_reversed_Solow",1998,10,2001,1,0.766525459813932,1996,-2,2,FALSE
"colonization","increasing effort after colonization",2,"Time_reversed_Solow",1998,9,2001,1,0.781928333197226,1995,-3,3,FALSE
"colonization","increasing effort after colonization",3,"Time_reversed_Solow",1998,8,2002,1,0.694838506117798,1996,-2,2,FALSE
"colonization","increasing effort after colonization",4,"Time_reversed_Solow",1998,9,2000,1,0.874929982770191,1994,-4,4,FALSE
"colonization","increasing effort after colonization",5,"Time_reversed_Solow",1998,9,2000,1,0.874929982770191,1994,-4,4,FALSE
"colonization","increasing effort after colonization",6,"Time_reversed_Solow",1998,7,2002,1,0.719985206554834,1996,-2,2,FALSE
"colonization","increasing effort after colonization",7,"Time_reversed_Solow",1998,7,1999,1,0.949071841026285,1991,-7,7,FALSE
"colonization","increasing effort after colonization",8,"Time_reversed_Solow",1998,8,2003,1,0.57952880089007,1998,0,0,FALSE
"colonization","increasing effort after colonization",9,"Time_reversed_Solow",1998,6,2002,1,0.743227764983023,1995,-3,3,FALSE
"colonization","increasing effort after colonization",10,"Time_reversed_Solow",1998,10,2003,1,0.495039255898855,1999,1,1,FALSE
"colonization","increasing effort after colonization",11,"Time_reversed_Solow",1998,6,2004,1,0.560859637876519,1998,0,0,FALSE
"colonization","increasing effort after colonization",12,"Time_reversed_Solow",1998,10,2006,1,0.135476589196878,2002,4,4,FALSE
"colonization","increasing effort after colonization",13,"Time_reversed_Solow",1998,8,1999,1,0.947877969658677,1992,-6,6,FALSE
"colonization","increasing effort after colonization",14,"Time_reversed_Solow",1998,6,2000,1,0.891184580368864,1992,-6,6,FALSE
"colonization","increasing effort after colonization",15,"Time_reversed_Solow",1998,14,2003,1,0.320564443945606,2000,2,2,FALSE
"colonization","increasing effort after colonization",16,"Time_reversed_Solow",1998,11,2004,1,0.301603544503608,2000,2,2,FALSE
"colonization","increasing effort after colonization",17,"Time_reversed_Solow",1998,12,2003,1,0.406662033799481,1999,1,1,FALSE
"colonization","increasing effort after colonization",18,"Time_reversed_Solow",1998,6,2002,1,0.743227764983023,1995,-3,3,FALSE
"colonization","increasing effort after colonization",19,"Time_reversed_Solow",1998,5,2008,1,0.279777645841061,2003,5,5,FALSE
"colonization","increasing effort after colonization",20,"Time_reversed_Solow",1998,12,2000,1,0.855823552490634,1995,-3,3,FALSE
"colonization","increasing effort after colonization",21,"Time_reversed_Solow",1998,13,2002,1,0.542685552031245,1998,0,0,FALSE
"colonization","increasing effort after colonization",22,"Time_reversed_Solow",1998,7,2000,1,0.886058620933288,1993,-5,5,FALSE
"colonization","increasing effort after colonization",23,"Time_reversed_Solow",1998,9,2001,1,0.781928333197226,1995,-3,3,FALSE
"colonization","increasing effort after colonization",24,"Time_reversed_Solow",1998,10,2002,1,0.638919793165927,1997,-1,1,FALSE
"colonization","increasing effort after colonization",25,"Time_reversed_Solow",1998,7,2005,1,0.401236040142834,2000,2,2,FALSE
"colonization","increasing effort after colonization",26,"Time_reversed_Solow",1998,8,1999,1,0.947877969658677,1992,-6,6,FALSE
"colonization","increasing effort after colonization",27,"Time_reversed_Solow",1998,12,2004,1,0.254543309074429,2000,2,2,FALSE
"colonization","increasing effort after colonization",28,"Time_reversed_Solow",1998,10,2000,1,0.868897996733636,1995,-3,3,FALSE
"colonization","increasing effort after colonization",29,"Time_reversed_Solow",1998,11,2003,1,0.450966324675492,1999,1,1,FALSE
"colonization","increasing effort after colonization",30,"Time_reversed_Solow",1998,11,1999,1,0.944079091853645,1994,-4,4,FALSE
"colonization","increasing effort after colonization",31,"Time_reversed_Solow",1998,11,2000,1,0.862534253564392,1995,-3,3,FALSE
"colonization","increasing effort after colonization",32,"Time_reversed_Solow",1998,6,2001,1,0.822185680623738,1993,-5,5,FALSE
"colonization","increasing effort after colonization",33,"Time_reversed_Solow",1998,9,2003,1,0.538117032941329,1998,0,0,FALSE
"colonization","increasing effort after colonization",34,"Time_reversed_Solow",1998,10,2004,1,0.352001411150784,2000,2,2,FALSE
"colonization","increasing effort after colonization",35,"Time_reversed_Solow",1998,8,2001,1,0.796313310948123,1995,-3,3,FALSE
"colonization","increasing effort after colonization",36,"Time_reversed_Solow",1998,10,2002,1,0.638919793165927,1997,-1,1,FALSE
"colonization","increasing effort after colonization",37,"Time_reversed_Solow",1998,12,2003,1,0.406662033799481,1999,1,1,FALSE
"colonization","increasing effort after colonization",38,"Time_reversed_Solow",1998,8,2000,1,0.880645255313656,1994,-4,4,FALSE
"colonization","increasing effort after colonization",39,"Time_reversed_Solow",1998,9,2003,1,0.538117032941329,1998,0,0,FALSE
"colonization","increasing effort after colonization",40,"Time_reversed_Solow",1998,7,2004,1,0.510292215370467,1998,0,0,FALSE
"colonization","increasing effort after colonization",41,"Time_reversed_Solow",1998,9,2001,1,0.781928333197226,1995,-3,3,FALSE
"colonization","increasing effort after colonization",42,"Time_reversed_Solow",1998,10,2002,1,0.638919793165927,1997,-1,1,FALSE
"colonization","increasing effort after colonization",43,"Time_reversed_Solow",1998,8,2001,1,0.796313310948123,1995,-3,3,FALSE
"colonization","increasing effort after colonization",44,"Time_reversed_Solow",1998,12,2001,1,0.732550620060301,1997,-1,1,FALSE
"colonization","increasing effort after colonization",45,"Time_reversed_Solow",1998,9,2002,1,0.667797489257921,1997,-1,1,FALSE
"colonization","increasing effort after colonization",46,"Time_reversed_Solow",1998,10,2001,1,0.766525459813932,1996,-2,2,FALSE
"colonization","increasing effort after colonization",47,"Time_reversed_Solow",1998,8,2002,1,0.694838506117798,1996,-2,2,FALSE
"colonization","increasing effort after colonization",48,"Time_reversed_Solow",1998,10,2004,1,0.352001411150784,2000,2,2,FALSE
"colonization","increasing effort after colonization",49,"Time_reversed_Solow",1998,10,2001,1,0.766525459813932,1996,-2,2,FALSE
"colonization","increasing effort after colonization",50,"Time_reversed_Solow",1998,5,2006,1,0.439663065378091,2000,2,2,FALSE
"colonization","increasing effort after colonization",51,"Time_reversed_Solow",1998,6,2003,1,0.65533514998773,1996,-2,2,FALSE
"colonization","increasing effort after colonization",52,"Time_reversed_Solow",1998,9,2002,1,0.667797489257921,1997,-1,1,FALSE
"colonization","increasing effort after colonization",53,"Time_reversed_Solow",1998,7,2000,1,0.886058620933288,1993,-5,5,FALSE
"colonization","increasing effort after colonization",54,"Time_reversed_Solow",1998,6,1999,1,0.950231307197609,1990,-8,8,FALSE
"colonization","increasing effort after colonization",55,"Time_reversed_Solow",1998,7,2005,1,0.401236040142834,2000,2,2,FALSE
"colonization","increasing effort after colonization",56,"Time_reversed_Solow",1998,8,1999,1,0.947877969658677,1992,-6,6,FALSE
"colonization","increasing effort after colonization",57,"Time_reversed_Solow",1998,7,2003,1,0.618732886558991,1997,-1,1,FALSE
"colonization","increasing effort after colonization",58,"Time_reversed_Solow",1998,6,2006,1,0.368124093635918,2000,2,2,FALSE
"colonization","increasing effort after colonization",59,"Time_reversed_Solow",1998,9,2000,1,0.874929982770191,1994,-4,4,FALSE
"colonization","increasing effort after colonization",60,"Time_reversed_Solow",1998,9,2002,1,0.667797489257921,1997,-1,1,FALSE
"colonization","increasing effort after colonization",61,"Time_reversed_Solow",1998,10,2001,1,0.766525459813932,1996,-2,2,FALSE
"colonization","increasing effort after colonization",62,"Time_reversed_Solow",1998,6,2001,1,0.822185680623738,1993,-5,5,FALSE
"colonization","increasing effort after colonization",63,"Time_reversed_Solow",1998,13,2001,1,0.71394440476907,1997,-1,1,FALSE
"colonization","increasing effort after colonization",64,"Time_reversed_Solow",1998,9,2000,1,0.874929982770191,1994,-4,4,FALSE
"colonization","increasing effort after colonization",65,"Time_reversed_Solow",1998,12,1999,1,0.942736614190384,1994,-4,4,FALSE
"colonization","increasing effort after colonization",66,"Time_reversed_Solow",1998,8,2001,1,0.796313310948123,1995,-3,3,FALSE
"colonization","increasing effort after colonization",67,"Time_reversed_Solow",1998,6,2004,1,0.560859637876519,1998,0,0,FALSE
"colonization","increasing effort after colonization",68,"Time_reversed_Solow",1998,5,2008,1,0.279777645841061,2003,5,5,FALSE
"colonization","increasing effort after colonization",69,"Time_reversed_Solow",1998,9,2000,1,0.874929982770191,1994,-4,4,FALSE
