"scenario","replicate","n_sightings","last_sighting","method","prior","alpha","threshold","estimated_year","date_error","absolute_date_error","no_threshold_crossing","final_probability"
"constant observation effort",1,4,1994,"Solow","uniform",1,0.3,2009,4,4,FALSE,0.118466497738601
"constant observation effort",1,4,1994,"Solow","earlier_beta_1_2",1,0.3,2011,6,6,FALSE,0.114690147042993
"constant observation effort",1,4,1994,"Solow","later_beta_2_1",1,0.3,2006,1,1,FALSE,0.122499999934668
"constant observation effort",1,4,1994,"Solow","uniform",1,0.4,2005,0,0,FALSE,0.118466497738601
"constant observation effort",1,4,1994,"Solow","earlier_beta_1_2",1,0.4,2008,3,3,FALSE,0.114690147042993
"constant observation effort",1,4,1994,"Solow","later_beta_2_1",1,0.4,2003,-2,2,FALSE,0.122499999934668
"constant observation effort",1,4,1994,"Solow","uniform",1,0.5,2003,-2,2,FALSE,0.118466497738601
"constant observation effort",1,4,1994,"Solow","earlier_beta_1_2",1,0.5,2006,1,1,FALSE,0.114690147042993
"constant observation effort",1,4,1994,"Solow","later_beta_2_1",1,0.5,2000,-5,5,FALSE,0.122499999934668
"constant observation effort",1,4,1994,"Solow","uniform",1,0.6,2001,-4,4,FALSE,0.118466497738601
"constant observation effort",1,4,1994,"Solow","earlier_beta_1_2",1,0.6,2004,-1,1,FALSE,0.114690147042993
"constant observation effort",1,4,1994,"Solow","later_beta_2_1",1,0.6,1999,-6,6,FALSE,0.122499999934668
"constant observation effort",1,4,1994,"Effort_fixed_alpha","uniform",0.6,0.5,NA,NA,NA,TRUE,NA
"constant observation effort",1,4,1994,"Effort_fixed_alpha","uniform",0.8,0.5,NA,NA,NA,TRUE,NA
"constant observation effort",1,4,1994,"Effort_fixed_alpha","uniform",1,0.5,NA,NA,NA,TRUE,NA
"constant observation effort",1,4,1994,"Effort_fixed_alpha","uniform",1.2,0.5,NA,NA,NA,TRUE,NA
"constant observation effort",1,4,1994,"Effort_fixed_alpha","uniform",1.5,0.5,NA,NA,NA,TRUE,NA
"constant observation effort",1,4,1994,"Effort_fixed_alpha","uniform",1.8,0.5,NA,NA,NA,TRUE,NA
"constant observation effort",1,4,1994,"Solow_te_median","uniform",1,-1,1997,-8,8,FALSE,-1
"constant observation effort",1,4,1994,"Solow_te_median","earlier_beta_1_2",1,-1,1997,-8,8,FALSE,-1
"constant observation effort",1,4,1994,"Solow_te_median","later_beta_2_1",1,-1,1999,-6,6,FALSE,-1
"constant observation effort",1,4,1994,"Effort_te_median","uniform",0.6,-1,NA,NA,NA,TRUE,-1
"constant observation effort",1,4,1994,"Effort_te_median","uniform",1,-1,NA,NA,NA,TRUE,-1
"constant observation effort",1,4,1994,"Effort_te_median","uniform",1.5,-1,NA,NA,NA,TRUE,-1
"constant observation effort",1,4,1994,"Effort_te_median","uniform",1.8,-1,NA,NA,NA,TRUE,-1
"constant observation effort",2,2,1990,"Solow","uniform",1,0.3,2014,9,9,FALSE,0.249999999591077
"constant observation effort",2,2,1990,"Solow","earlier_beta_1_2",1,0.3,2014,9,9,FALSE,0.236551386290895
"constant observation effort",2,2,1990,"Solow","later_beta_2_1",1,0.3,2013,8,8,FALSE,0.26506997507581
