"scenario","method","prior","alpha","threshold","n_sightings","final_probability","date_error","absolute_date_error","no_threshold_crossing"
"constant observation effort","Effort_te_median","uniform",0.6,-1,3.39393939393939,-1,0.515151515151515,2.93939393939394,0
"constant observation effort","Solow_te_median","later_beta_2_1",1,-1,3.525,-1,-0.275,3.225,0
"constant observation effort","Effort_te_median","uniform",1,-1,3.39393939393939,-1,-1.27272727272727,3.27272727272727,0
"constant observation effort","Solow_te_median","uniform",1,-1,3.525,-1,-1.75,3.7,0
"constant observation effort","Effort_te_median","uniform",1.5,-1,3.39393939393939,-1,-2.72727272727273,3.81818181818182,0
"constant observation effort","Solow_te_median","earlier_beta_1_2",1,-1,3.525,-1,-3.3,4.05,0
"constant observation effort","Effort_te_median","uniform",1.8,-1,3.39393939393939,-1,-3.3030303030303,4.09090909090909,0
"constant observation effort","Solow","later_beta_2_1",1,0.6,3.525,0.276249490042619,0,4.6,0
"constant observation effort","Effort_fixed_alpha","uniform",1.8,0.5,3.39393939393939,0.156541530128353,2.87878787878788,5.48484848484848,0
"constant observation effort","Solow","later_beta_2_1",1,0.5,3.525,0.276249490042619,2.85,5.9,0
"constant observation effort","Effort_fixed_alpha","uniform",1.5,0.5,3.4375,0.201261584566583,3.8125,5.9375,0
"constant observation effort","Solow","uniform",1,0.6,3.525,0.32133803764169,3.4,6.2,0
"constant observation effort","Solow","later_beta_2_1",1,0.4,3.78125,0.237589467795821,4.75,6.75,0
"constant observation effort","Effort_fixed_alpha","uniform",1.2,0.5,3.48387096774194,0.265113803696542,5.19354838709677,6.93548387096774,0
"constant observation effort","Solow","later_beta_2_1",1,0.3,4.18181818181818,0.188585177086256,6.63636363636364,7.27272727272727,0
"constant observation effort","Solow","uniform",1,0.4,3.96153846153846,0.231573337977032,6.11538461538461,7.34615384615385,0
"constant observation effort","Effort_fixed_alpha","uniform",1,0.5,3.55172413793103,0.310764212137061,6,7.51724137931035,0
"constant observation effort","Solow","uniform",1,0.5,3.66666666666667,0.295114159524979,5.72222222222222,7.61111111111111,0
"constant observation effort","Solow","earlier_beta_1_2",1,0.6,3.71875,0.322879084987464,5.78125,7.65625,0
"constant observation effort","Solow","earlier_beta_1_2",1,0.5,3.96153846153846,0.269574538158161,6.46153846153846,7.92307692307692,0
"constant observation effort","Solow","earlier_beta_1_2",1,0.3,4.07692307692308,0.158619005790362,7.38461538461539,8,0
