"experiment","scenario","replicate","method","true_year","n_sightings","last_sighting","final_probability","estimated_year","date_error","absolute_date_error","no_threshold_crossing"
"extinction","constant observation effort",1,"Solow",2005,6,1999,0.11024051988071,2008,3,3,FALSE
"extinction","constant observation effort",1,"Kodikara",2005,6,1999,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",1,"Effort_fixed_alpha",2005,6,1999,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",2,"Solow",2005,3,1988,0.0769230766293701,1994,-11,11,FALSE
"extinction","constant observation effort",2,"Kodikara",2005,3,1988,0.180087448356975,1994,-11,11,FALSE
"extinction","constant observation effort",2,"Effort_fixed_alpha",2005,3,1988,0.0769230769230564,1994,-11,11,FALSE
"extinction","constant observation effort",3,"Solow",2005,6,2002,0.209472494106858,2012,7,7,FALSE
"extinction","constant observation effort",3,"Kodikara",2005,6,2002,0.181884536494005,2010,5,5,FALSE
"extinction","constant observation effort",3,"Effort_fixed_alpha",2005,6,2002,0.209472494175647,2012,7,7,FALSE
"extinction","constant observation effort",4,"Solow",2005,5,2002,0.287186830322261,2013,8,8,FALSE
"extinction","constant observation effort",4,"Kodikara",2005,5,2002,0.313135533113889,2013,8,8,FALSE
"extinction","constant observation effort",4,"Effort_fixed_alpha",2005,5,2002,0.28718683032321,2013,8,8,FALSE
"extinction","constant observation effort",5,"Solow",2005,4,2003,0.413215749244603,2017,12,12,FALSE
"extinction","constant observation effort",5,"Kodikara",2005,4,2003,0.315538040572215,2014,9,9,FALSE
"extinction","constant observation effort",5,"Effort_fixed_alpha",2005,4,2003,0.413215749315099,2017,12,12,FALSE
"extinction","constant observation effort",6,"Solow",2005,5,2002,0.287186830322261,2013,8,8,FALSE
"extinction","constant observation effort",6,"Kodikara",2005,5,2002,0.143689329876213,2009,4,4,FALSE
"extinction","constant observation effort",6,"Effort_fixed_alpha",2005,5,2002,0.28718683032321,2013,8,8,FALSE
"extinction","constant observation effort",7,"Solow",2005,4,1998,0.231232818790995,2009,4,4,FALSE
"extinction","constant observation effort",7,"Kodikara",2005,4,1998,0.267691135830302,2008,3,3,FALSE
"extinction","constant observation effort",7,"Effort_fixed_alpha",2005,4,1998,0.231232818777754,2009,4,4,FALSE
"extinction","constant observation effort",8,"Solow",2005,5,2003,0.329270900440851,2015,10,10,FALSE
"extinction","constant observation effort",8,"Kodikara",2005,5,2003,0.417913145931468,2017,12,12,FALSE
"extinction","constant observation effort",8,"Effort_fixed_alpha",2005,5,2003,0.329270900652827,2015,10,10,FALSE
"extinction","constant observation effort",9,"Solow",2005,3,2002,0.464491362681942,2019,14,14,FALSE
"extinction","constant observation effort",9,"Kodikara",2005,3,2002,0.566374027097013,NA,NA,NA,TRUE
"extinction","constant observation effort",9,"Effort_fixed_alpha",2005,3,2002,0.464491362763916,2019,14,14,FALSE
"extinction","constant observation effort",10,"Solow",2005,3,1996,0.275862068888683,2008,3,3,FALSE
"extinction","constant observation effort",10,"Kodikara",2005,3,1996,0.367027330737312,2010,5,5,FALSE
"extinction","constant observation effort",10,"Effort_fixed_alpha",2005,3,1996,0.275862068965517,2008,3,3,FALSE
"extinction","constant observation effort",11,"Solow",2005,2,1994,0.350000017197121,2009,4,4,FALSE
"extinction","constant observation effort",11,"Kodikara",2005,2,1994,0.13611658964534,1999,-6,6,FALSE
"extinction","constant observation effort",11,"Effort_fixed_alpha",2005,2,1994,0.35,2008,3,3,FALSE
"extinction","constant observation effort",12,"Solow",2005,4,1995,0.143109540731694,2004,-1,1,FALSE
"extinction","constant observation effort",12,"Kodikara",2005,4,1995,0.224675862747308,2004,-1,1,FALSE
"extinction","constant observation effort",12,"Effort_fixed_alpha",2005,4,1995,0.143109540636042,2004,-1,1,FALSE
"extinction","constant observation effort",13,"Solow",2005,2,1991,0.274999999929525,2003,-2,2,FALSE
"extinction","constant observation effort",13,"Kodikara",2005,2,1991,0.269406336768455,1999,-6,6,FALSE
